Group,pre,post
Control,24,33
Control,32,37
Control,29,28
Control,36,41
Control,25,44
Control,42,43
Control,35,45
Control,43,28
Control,35,30
Control,41,37
Control,33,42
Control,25,37
Control,38,42
Control,30,32
Control,40,49
Control,50,27
Control,55,30
Control,52,40
Control,44,30
Control,28,53
Control,20,29
Control,26,17
Control,34,20
Control,35,29
Control,40,38
Control,38,43
Control,22,44
Experiment,30,66
Experiment,32,56
Experiment,24,56
Experiment,13,64
Experiment,53,70
Experiment,35,67
Experiment,57,71
Experiment,46,35
Experiment,69,45
Experiment,45,47
Experiment,69,72
Experiment,70,60
Experiment,53,71
Experiment,21,67
Experiment,24,58
Experiment,53,52
Experiment,31,44
Experiment,50,77
Experiment,68,38
Experiment,23,70
Experiment,25,48
Experiment,38,57
Experiment,26,60
Experiment,29,61
Experiment,41,49
Experiment,40,55
Experiment,40,81
